UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type
18,L00018,L,297.1855629213616,307.4648058547342,1659.0575437360724,27.342966116224943,112.13552827849024,0,No Failure
19,L00019,L,296.72177640455646,306.8482879528538,1643.55247609246,28.129693548422015,47.54066329180531,0,No Failure
20,L00020,L,299.0353802077178,310.3095645903743,1326.5663939355227,58.06436123330261,67.478168680807,0,No Failure
21,M00021,M,300.72121182562694,307.92245219282177,2056.3580674655573,43.38733531167437,35.19752239794936,0,No Failure
22,L00022,L,300.44220394333917,310.4849073539968,1727.289521302168,27.665062461097833,348.80227587026087,1,Tool Wear Failure
23,L00023,L,295.5868693281092,307.0554230663104,1631.5032213801233,38.885986871238664,130.73157334726668,0,No Failure
24,L00024,L,300.67840610281377,309.7136751070121,1330.0388988505802,37.81977719122059,53.7916766733587,0,No Failure
25,L00025,L,297.4636829967642,305.62384212691126,1708.7280092132255,23.344121149380932,21.85673499806072,0,No Failure
26,M00026,M,299.3014660302912,309.02275761514153,1448.9476581033305,32.61012193763826,21.040804944079426,0,No Failure
27,L00027,L,296.2875693359056,306.1965411861027,1503.9672447287712,39.906984302603256,70.15614980789749,0,No Failure
28,L00028,L,298.383959827748,307.0209814048748,1237.4362758025704,52.7961865212004,68.07221691583524,0,No Failure
29,L00029,L,298.7274463657938,311.8716882798702,1316.2020826908665,38.287366463036484,58.41954722327413,0,No Failure
30,L00030,L,295.1307904161607,304.4127458446488,1617.4313872397051,39.03695728008835,206.1971905827369,0,No Failure
31,M00031,M,299.3165343326884,307.5860453055485,1719.2178772759987,32.042788290526815,418.1750207718172,1,Tool Wear Failure
32,L00032,L,300.79187001567664,310.6514380370707,1661.6033624692498,51.0960310886461,47.32893172758329,0,No Failure
33,L00033,L,297.75070410863674,309.11249506519346,1655.4918461160107,49.166147862464484,37.692576357478934,0,No Failure
34,H00034,H,300.82033626165605,310.8464576351534,1527.1873742671246,48.039667686625734,158.777036720012,1,Heat Dissipation Failure
35,H00035,H,297.7206130130952,308.4490038931612,1465.8774321448382,41.28503348474373,64.52574557973696,0,No Failure
36,M00036,M,299.79916906209326,308.4919031705935,1590.598899241275,24.232221587820348,26.497694051256765,0,No Failure
37,L00037,L,293.6628600680978,305.8943927377031,1686.078512331879,51.00409889146506,21.556480015530465,0,No Failure
38,L00038,L,302.93755555862697,313.7801221005046,1539.671802309593,40.741577586939684,35.56363658740088,0,No Failure
39,M00039,M,301.09091649048594,312.66246884380234,1755.7981871704735,37.09334253078115,0.14304658775108597,1,Heat Dissipation Failure
40,L00040,L,297.53074899149266,308.07848994020543,1500.23808099779,44.64113684706954,306.4534139065883,1,Tool Wear Failure
41,L00041,L,294.15582194671236,305.39314800330555,1363.035986901418,42.40517134716532,60.7560090159078,0,No Failure
42,L00042,L,298.676056736611,307.36647789709514,1536.9420500020485,29.51009600418786,9.33996525628824,0,No Failure
43,L00043,L,295.21214890585253,304.4750332808182,1557.8008294919405,36.97164532098414,19.469398912093503,0,No Failure
44,H00044,H,298.989707075115,311.0094279684491,1524.0920089373396,21.186194859615842,42.182975936743766,0,No Failure
45,L00045,L,298.9231314383286,311.26274435925455,1768.4215420661894,41.02768554695161,86.64614465348392,0,No Failure
46,M00046,M,296.21719366199596,304.4965952624174,1683.1906451438201,53.43137383999237,131.37520604616867,0,No Failure
47,L00047,L,300.3419340472288,310.71653814902453,1282.2322807401274,22.267717079439304,39.73906456251531,1,Heat Dissipation Failure
48,L00048,L,299.7111494056124,309.06473370488453,1813.9120056457527,41.452421856020415,341.38753818305383,1,Tool Wear Failure
49,L00049,L,300.05164667457717,309.0060994705299,1047.2639209933293,46.8347309819314,154.26901396595014,0,No Failure
50,L00050,L,298.1177154073378,308.544974950371,1924.4786700524528,48.309079127732936,188.73476853570548,0,No Failure
51,H00051,H,295.2689518661726,306.9803962647207,1487.2861214192521,32.73048808461584,42.23212682088468,0,No Failure
52,M00052,M,300.0557445444223,310.7332382543486,1504.8105048183859,29.180759625239915,51.79543229105995,1,Heat Dissipation Failure
53,H00053,H,297.5592572017284,307.0799885268499,1528.0390883520263,34.31709190772835,83.41100595371451,0,No Failure
54,M00054,M,295.3204397136147,306.0927314835174,1607.8673341082442,52.04298416869574,64.90013277900016,0,No Failure
55,L00055,L,300.80407873194866,310.26411447157733,1538.752808012855,23.125730216120083,32.5035585067238,0,No Failure
56,H00056,H,302.298815041005,312.91698649210093,1514.882242641478,28.046809059333448,637.6093014867166,1,Tool Wear Failure
57,L00057,L,298.01750374204164,310.1122022927252,1773.489052867564,35.596068239277955,203.71284206339547,0,No Failure
58,L00058,L,302.4182423092066,309.30250282025537,1640.2113770993274,30.442557957416,29.35354843193056,0,No Failure
59,L00059,L,298.2826294572227,309.47850790503276,1366.8864689113225,39.75452282792204,240.7666794596741,1,Tool Wear Failure
60,L00060,L,297.3390881916673,305.0305058093116,1671.6028328403954,54.27282361610469,95.47541426654477,0,No Failure
61,L00061,L,296.83908309162905,308.68157465744576,1632.7723856707726,28.167930085321814,1.3652947950139185,0,No Failure
62,L00062,L,301.3741648159855,310.41862640117625,1441.0324210032875,38.71072922031727,45.88697775806251,1,Heat Dissipation Failure
63,M00063,M,296.5397122372245,304.7132051708148,1680.8304198467356,40.08773783507725,2.8155209748211942,0,No Failure
64,L00064,L,299.57053861995,310.61344246058314,1510.5472326007089,36.83417510177743,9.921280685857504,0,No Failure
65,L00065,L,296.98167232988163,307.52792742459525,1499.0539464479693,24.433102988470225,21.29808908636087,0,No Failure
66,L00066,L,297.1793864748513,305.6806061204088,1494.1698780442748,33.810879543896405,71.54150875136743,0,No Failure
67,L00067,L,300.1604993879392,308.2809997521866,1103.4384323884346,33.840681575048535,51.85258463845404,0,No Failure
68,M00068,M,297.3399263074213,307.05870407618437,1444.362809604826,46.48603443770666,17.42457442463585,0,No Failure
69,L00069,L,297.2904092411594,305.4842788159026,1666.6719623131203,44.35320559805409,54.193563690727544,0,No Failure
70,H00070,H,300.36560939434963,308.7733999349642,1534.7816641473553,24.697599377177948,39.19249932502464,0,No Failure
71,M00071,M,301.2947945864433,311.4682257720754,1308.366073126864,36.310250510572715,57.01288466706331,0,No Failure
72,L00072,L,299.38937960656847,307.9405721551858,1711.7583840559323,35.18245557440795,20.42470745368903,0,No Failure
73,L00073,L,296.7904604487521,307.43026938379194,1485.260991393869,59.65831197866095,101.61373182259022,0,No Failure
74,M00074,M,297.0787830014049,309.3139983952301,1319.7715145243887,43.08436240760717,4.919745141822401,0,No Failure
75,M00075,M,298.2598305274801,308.0369974051292,1934.338034377613,29.427938962265564,53.00881728868854,0,No Failure
76,M00076,M,298.7418601238513,308.9370867168297,1349.9661538083453,32.425324711661546,243.2923233996964,1,Tool Wear Failure
77,M00077,M,296.1242681797205,309.15141327897373,1696.4928279735277,36.39590237002197,58.769155454762235,0,No Failure
78,L00078,L,299.54607587915973,307.7646742030937,1400.8619817167694,43.78280472665367,62.82887205483836,0,No Failure
79,L00079,L,298.27102665927924,310.0578794520504,1563.1537514390861,45.00466183323751,7.606629018484561,0,No Failure
80,L00080,L,294.6685833627238,306.2748697595925,1377.038953268086,42.16881194763371,100.41755815866101,0,No Failure
81,M00081,M,296.2421470350786,307.5236230438392,1316.592760297633,38.07864050100645,297.56006942659064,0,No Failure
82,M00082,M,297.0917426526967,309.02936442879565,1632.4309162595837,38.814076767822286,37.23419332154184,0,No Failure
83,L00083,L,297.9542846223179,308.37514707125587,1611.468594742598,38.88417681265124,53.96124435944345,0,No Failure
84,L00084,L,301.878557591008,311.0041633476091,1744.0356453484783,22.39438832405972,95.80850057506251,1,Heat Dissipation Failure
85,L00085,L,298.5763426122793,310.2182025491101,1532.6353198979516,39.55892253221251,10.567332102874285,0,No Failure
86,L00086,L,296.41845622020276,308.1177195377721,1936.9090766868799,34.41477706373011,324.1530772789119,0,No Failure
87,M00087,M,298.5412616086144,310.1992324608543,1586.9145574714605,23.691282698776234,68.0782260448955,0,No Failure
88,M00088,M,297.39582450509226,307.4625776285711,1640.422700345832,64.27628930302376,13.20585750836135,0,No Failure
89,M00089,M,298.7495164790671,307.6752247086471,1295.2336363522738,43.273696951691576,44.0974840071498,0,No Failure
90,L00090,L,299.2611353740713,309.54817875523867,1428.69468229853,40.30063948503462,50.558563331848504,0,No Failure
91,L00091,L,300.5184612944479,311.93180632079964,1631.9785703025148,36.46985393375998,45.75923227419311,1,Heat Dissipation Failure
92,M00092,M,298.05142700865997,309.58795469344994,1523.6979621992446,47.4503179127274,127.61672011107657,0,No Failure
93,M00093,M,301.3779210551997,310.7334068645878,1572.4515861117102,28.581866415706067,45.78285954123698,0,No Failure
94,L00094,L,299.9160453250724,310.3891046692635,1392.402669600445,37.05233820933015,42.26538964881263,0,No Failure
95,M00095,M,296.68512091037564,304.72195345364673,1560.6650923434618,30.676856299739484,41.98376505753043,0,No Failure
96,L00096,L,302.519711331497,313.99713648600573,1560.0552783623982,47.36398165110339,162.47474304794318,0,No Failure
97,L00097,L,298.75398902654024,307.57902589145266,1327.1480009345767,31.92739077584904,39.82184719102729,0,No Failure
98,L00098,L,296.4297509920556,307.6076340314129,1654.00918715123,51.15023828198797,1.5224749357576397,0,No Failure
99,L00099,L,301.4058261024609,309.68186923637563,1233.978355017608,39.18022438559022,49.13712408028805,0,No Failure
100,L00100,L,302.2555551703969,313.80267903004795,1571.8338878511647,47.89166626536576,35.21433936100315,1,Heat Dissipation Failure
101,L00101,L,298.0339494725609,308.51670225759506,1855.3707700029122,44.156593077177625,258.8852184043921,1,Tool Wear Failure
102,M00102,M,297.09269947924884,305.92066293582343,1660.8227114309614,50.73067099493532,70.19006046383457,0,No Failure
103,L00103,L,297.7552500850927,308.7922846567135,1659.7018548144526,30.84628933759562,28.871043883018526,0,No Failure
104,L00104,L,299.5294634550354,308.6439209173274,1377.8913971817008,49.199063153918004,431.40598259276936,1,Tool Wear Failure
105,H00105,H,300.65571331006106,311.78004586622876,1855.992826130308,21.599991127304243,30.601847671212557,1,Heat Dissipation Failure
106,L00106,L,299.2409746617272,308.8298074486561,1785.6455543621903,40.59997381827345,155.49807826888664,0,No Failure
107,L00107,L,298.3034464169436,305.72187572849907,1387.5443088948248,34.72715833493895,113.2422123542911,0,No Failure
108,M00108,M,301.0960235406089,309.62239917988745,1453.6749507425925,26.166722401569483,66.99464348220702,0,No Failure
109,L00109,L,297.47432705389696,306.828704990866,1763.7598288553552,31.261584413816397,56.22462643883441,0,No Failure
110,L00110,L,300.16183867673385,312.2141222123567,1860.8492249321946,33.782662408995044,222.3415016632172,0,No Failure
111,L00111,L,297.52387440329744,308.8755898490913,1312.0417939083113,38.21037972942446,69.6075076140497,0,No Failure
112,L00112,L,298.9620459160218,311.397838034505,1358.8346589883834,34.93724897106355,50.82212325648538,0,No Failure
113,H00113,H,297.87287487041914,310.3533276944639,1513.019034573505,40.96785895619036,47.23306174474183,0,No Failure
114,M00114,M,297.9882956346944,307.186169427808,1149.5228405209568,31.89332159358196,34.860411655735085,0,No Failure
115,M00115,M,297.3452269650756,307.06249667543733,1542.2147972255495,35.415728721016706,56.79521838762545,0,No Failure
116,M00116,M,300.7897080623614,310.1727881758656,1751.4038120655762,37.28801133154261,13.795939447598055,1,Heat Dissipation Failure
117,M00117,M,296.63414792378296,305.62688201583137,1280.85238298893,41.985499336637645,7.272757170179585,0,No Failure
118,L00118,L,296.6195354949026,303.8572934308979,1561.590278820033,48.6330073999205,84.21021056429373,0,No Failure
119,M00119,M,302.34198713169025,312.319865554665,1434.4885125943404,48.681020180441834,65.40646411628738,0,No Failure
120,L00120,L,300.0556951293087,308.127346738742,1832.8423086115774,42.537715398267586,20.565904036243865,0,No Failure
121,M00121,M,293.32977260261396,303.2785147803125,1436.636319119544,44.459622575557816,12.197938357396422,0,No Failure
122,M00122,M,296.9694825215792,310.1431387359237,1811.155460633321,43.27931315097939,16.699957404797843,0,No Failure
123,L00123,L,294.4760213248759,303.71200368037984,1431.676305803547,37.03301750664044,40.898891284668856,0,No Failure
124,L00124,L,296.1986186131695,306.49077962161164,1677.0718218964093,49.14881253610026,64.85832498413014,0,No Failure
125,L00125,L,291.82297066753193,303.1829432462459,1583.973849372432,31.052623507936886,23.205478900673807,0,No Failure
126,L00126,L,297.8260208446121,308.246457782561,1514.0077108939856,19.74998968101066,152.17753859096214,0,No Failure
127,M00127,M,295.8161163616774,306.25484264359085,1397.0582275686222,29.78635081405907,23.202034013531893,0,No Failure
128,M00128,M,298.2198105135929,307.67620686306077,1596.7310090422982,54.15911452658975,14.313623154597762,0,No Failure
129,L00129,L,294.84975748223496,304.5019405196431,1459.8120274364553,37.22453160917814,563.0076186997717,0,No Failure
130,L00130,L,298.2658237063441,306.82580792306237,1415.1249158919009,42.903066191652165,64.11796258946478,0,No Failure
131,L00131,L,297.27016744375936,308.53923495709347,1802.8591875286666,37.43871833479506,20.12450752483169,0,No Failure
132,L00132,L,301.1039059303772,308.49166844545607,1636.9721697895357,45.76980332839879,242.95510045794163,1,Tool Wear Failure
133,L00133,L,300.92271372349126,312.3793462310646,1654.2044640769614,40.875005280083585,28.38061414310136,1,Heat Dissipation Failure
134,L00134,L,299.6706912060206,307.5651436289027,1468.5863856128212,39.486137667954445,280.5872352709173,1,Tool Wear Failure
135,H00135,H,297.4467724386776,308.8906833497926,1505.4540823679633,46.28937000045294,13.678547763587787,0,No Failure
136,L00136,L,302.07076079052064,311.54003450120234,1494.2302035439457,35.52719095197033,199.1507172455433,1,Heat Dissipation Failure
137,L00137,L,294.9939294443204,303.14612641212074,1599.2669370114252,43.87961549348961,21.99617819316904,0,No Failure
138,M00138,M,295.2928827408727,306.1618307084922,1653.8753589153612,38.42802503905418,300.8968259669743,0,No Failure
139,L00139,L,297.9324338002219,309.32558510283553,1533.375929303135,39.09896025546747,92.21990697898121,0,No Failure
140,H00140,H,302.60807621784227,311.95095824568693,1396.678752543411,32.00858293174696,22.74636476144046,1,Heat Dissipation Failure
141,H00141,H,297.69532218625983,308.77623800927825,1675.1702829448602,38.01692217561886,201.22234869887555,1,Tool Wear Failure
142,L00142,L,297.73350951358145,304.30588277157744,1544.7893135697545,34.77381177403561,53.4860298748338,0,No Failure
143,L00143,L,295.2161792877764,303.2352848531565,1280.4580372863632,51.43530418224812,142.53927132841807,0,No Failure
144,L00144,L,299.9918591705408,311.9304725662439,1155.941651310712,23.37980551132815,111.37551559266389,0,No Failure
145,L00145,L,300.0063525086587,309.67084859736184,1592.212963560063,49.03592111770129,135.30173012995388,0,No Failure
146,L00146,L,299.6781504027998,306.88483041312656,1390.0753478612276,22.779750923530848,45.485277016458056,0,No Failure
147,M00147,M,296.8415586543053,305.7932593836423,1616.089439800784,45.52603990697132,301.7546604622985,1,Tool Wear Failure
148,L00148,L,296.686586463254,305.3014857544664,1399.7316372206965,31.81782956490209,88.62004527559526,0,No Failure
149,L00149,L,295.5137554991901,305.2648129019807,1562.6802090083547,45.81623297375836,8.719229568479138,0,No Failure
150,L00150,L,298.2677450035219,307.7116185278104,1470.952606036397,38.960050690078845,7.459022681953755,0,No Failure
151,H00151,H,295.939185341443,306.2075829348503,1852.9194012820035,25.88943704178876,144.7510609834548,0,No Failure
152,L00152,L,295.74516698950146,305.6409679120826,1709.191597446883,53.71542684224286,204.8705539639206,0,No Failure
153,L00153,L,297.2526185661787,309.2922274487342,1780.3703342036779,47.913163709260765,128.3429620034018,0,No Failure
154,L00154,L,297.1216876496316,307.7585105492111,1543.1117650030485,45.1866593062786,35.10368688905853,0,No Failure
155,H00155,H,297.0240429423561,307.7105503591465,1686.2493163832983,33.78551364845299,27.654407892174348,0,No Failure
156,L00156,L,299.03288919368055,310.78062487952235,1555.2328589138847,48.25651359612108,90.00864784098168,0,No Failure
157,M00157,M,298.2580956043006,307.67494247865625,1802.2977321808671,27.375981332665525,23.665608541761216,0,No Failure
158,M00158,M,297.5236879389778,305.63087177394004,1525.78962169955,17.960368158601916,51.47116362621475,0,No Failure
159,L00159,L,298.466025856623,310.2764813435714,1288.2301612733097,24.593611084153757,106.99790055632887,1,Random Failure
160,M00160,M,296.11694591779076,306.32070853995293,1180.4471605219687,30.977779277825647,36.21766383209418,0,No Failure
161,L00161,L,298.31055724781936,308.51958405966775,1837.9281837379176,32.64427626561739,50.83626427444642,0,No Failure
162,M00162,M,298.4012049856893,307.4512101033939,1624.5958522152491,35.83460961860449,48.286437224074085,0,No Failure
163,M00163,M,295.09390628128506,304.1686232816297,1636.3852532124843,36.27738065084222,66.6528568158789,0,No Failure
164,L00164,L,300.09138750874075,311.36147101689704,1805.8938581228806,33.691112325558414,121.17192426486191,1,Heat Dissipation Failure
165,L00165,L,296.33713258954606,307.8141162867525,1242.6439245899362,19.070341721503222,164.6852248007556,0,No Failure
166,M00166,M,298.2806195984129,309.45635470703286,1474.5028021089367,42.08546997507816,118.13806636656318,0,No Failure
167,L00167,L,300.42882348107054,311.6182658892387,1496.4726795500244,37.53119270809019,2.863760481986836,0,No Failure
168,L00168,L,299.95135351542774,310.80489782131735,1671.8899493140177,33.22745446206259,245.31888342629748,1,Tool Wear Failure
169,L00169,L,298.1686667771377,308.3659508722549,1414.6096076394117,54.108272274985765,93.99618245931833,1,Random Failure
170,L00170,L,297.3750019942359,307.11193246775446,1323.3936877877982,37.75561131538302,273.11197400304013,1,Tool Wear Failure
171,M00171,M,299.99502381715115,311.81050959206345,1321.7844868762186,40.75356137258807,358.6350769983247,0,No Failure
172,L00172,L,299.4493899556173,308.88880864988164,1744.8906610755732,48.10462601327783,68.12897347234434,0,No Failure
173,L00173,L,296.86326995991175,307.41823878073285,1405.663995581101,25.316087402991883,267.98044205560615,1,Tool Wear Failure
174,L00174,L,296.51021270599665,305.30419320906526,1439.8232650610992,39.94457776493102,49.111679191572144,0,No Failure
175,M00175,M,293.95528963660803,302.96634108133236,1652.5655184255133,48.07170210454577,32.57456888655782,0,No Failure
176,L00176,L,298.4080636833672,308.0538318315813,1413.4790883034825,39.259450840091844,8.260039846692928,0,No Failure
177,M00177,M,297.9346045099632,306.72869694487247,1233.1027477999132,27.17567441074465,64.92643018468519,0,No Failure
178,L00178,L,300.3723827492851,311.5691604875026,1255.2009795511256,35.35971981389562,126.0313934806686,0,No Failure
179,H00179,H,298.8181101869608,306.7960588096432,1528.6144337689184,42.05419685806417,406.63529377830497,1,Tool Wear Failure
180,L00180,L,300.7684583883454,310.917302823417,1627.9709875644842,19.164427435213145,79.5636609294823,1,Heat Dissipation Failure
181,L00181,L,296.70527154416766,306.90403368943095,1502.5374277776195,26.6839698788406,143.21292991388177,0,No Failure
182,L00182,L,300.37630066193526,307.6601012944557,1615.978376792966,59.84616285247304,244.596273511247,1,Tool Wear Failure
183,H00183,H,297.0421672417907,306.3806315110053,1249.618231586831,45.00136457001858,84.61556392811457,0,No Failure
184,M00184,M,299.6551921235846,310.0387414306568,1261.7270751044182,54.96020149034132,19.703509571517735,0,No Failure
185,L00185,L,295.18248321493866,305.8255752048798,1942.9307097915575,48.80718748403359,203.60665997899747,0,No Failure
186,M00186,M,298.5702705987324,308.26380978583217,1759.8382199941068,44.09801692244608,92.20216791651646,0,No Failure
187,M00187,M,294.1306241171082,305.14595642382926,1676.676660217404,37.088479987733244,153.4606979850266,0,No Failure
188,L00188,L,297.5657250281165,307.4017506422624,1420.511366537315,43.97070232761663,116.02904061076248,0,No Failure
189,L00189,L,298.98070798775586,309.00118735586847,1496.1254900020301,54.62614298289769,6.801812272400508,0,No Failure
190,L00190,L,297.0580628975378,307.43554370101765,1538.4992570379454,48.400623063979275,20.00849444085412,0,No Failure
191,L00191,L,295.9991247424881,307.38962418558935,1774.4622581893727,41.833098739322395,36.41999448775778,0,No Failure
192,M00192,M,299.7922369385919,308.7786599349686,1611.018950023605,38.45169972007955,36.18693104803746,0,No Failure
193,H00193,H,297.89307442030616,307.16284161152873,1633.0963445709028,45.13828616708451,197.37860227064016,0,No Failure
194,M00194,M,297.1208587059387,306.1175139683449,1508.7394701334322,34.86553520531301,98.48506969886554,0,No Failure
195,L00195,L,298.18379184230855,307.6854952680957,1680.9248464844272,45.139789871832086,9.402177503422884,0,No Failure
196,L00196,L,303.3733382838912,315.51268967101083,1593.0064686144271,33.211383754769386,52.889147968613585,0,No Failure
197,M00197,M,300.4070056995631,311.26609367855787,1546.6932759813005,36.64140875177033,87.76898435418755,0,No Failure
198,M00198,M,300.4251473363757,308.7285127186224,1405.5650079270015,29.923776501821493,31.286288445947754,0,No Failure
199,M00199,M,298.9710926379847,308.0704221896017,1518.4365866411772,35.78556245037955,4.3900903386534145,0,No Failure
200,M00200,M,298.4329705451543,308.99212138156895,1345.2397862122539,33.35323524489213,51.673817956629684,0,No Failure
201,M00201,M,293.3078354233392,301.94807375194006,1531.603076226539,57.038396449357805,66.7861453144056,0,No Failure
202,L00202,L,296.74203930707375,305.65402924585163,1554.7418064831063,31.251877300438952,253.9519719605621,0,No Failure
203,L00203,L,297.13885117359507,309.1562906728563,1107.669853640088,44.00680789721067,258.11510822439396,1,Tool Wear Failure
204,M00204,M,294.35021587190494,303.4301524291952,1497.5001206392797,30.729583276044785,74.94686454390265,0,No Failure
205,M00205,M,295.7851684195692,307.21716864361326,1327.9646793143966,40.63755348566088,68.87183498000283,0,No Failure
206,L00206,L,294.13832705815474,306.02131184245115,1628.2060310651432,43.06045655748527,110.48905782219515,0,No Failure
207,L00207,L,298.02335232860526,306.9231591918518,1653.0427420186934,21.714496370980704,32.245911565708326,0,No Failure
208,M00208,M,299.7375319416977,308.40258810686197,1462.3572706926086,26.23491616142765,36.33898539486926,0,No Failure
209,L00209,L,300.31354903724866,309.8993509075269,1637.2396602209594,30.651908283357308,0.2766019601975491,0,No Failure
210,L00210,L,298.9295689241585,307.2966273431481,1644.7783016848764,27.176728365736096,8.795507353199092,0,No Failure
211,L00211,L,296.1732073176029,306.354758135357,1497.61194999347,41.008329463396805,21.235798282563003,0,No Failure
212,M00212,M,294.23586968296013,303.92739181518004,1813.897654671946,42.58852468128601,110.51029291000039,0,No Failure
213,M00213,M,294.586262601197,305.12713262502643,1408.7940637947343,29.57117260498568,25.821894886749583,0,No Failure
214,L00214,L,295.56203484549104,307.6574500298403,1802.6158705932926,41.40825841621757,14.307773066001523,0,No Failure
215,M00215,M,296.3222806039287,307.54850807508416,1498.4217423474513,35.941936220699326,103.45391202761081,0,No Failure
216,L00216,L,297.78050300401685,308.5143626671354,1387.591584866584,39.1782239453182,113.92215127721333,0,No Failure
217,L00217,L,296.07167156374607,303.12259894429417,1475.7673582882742,33.904619802629014,6.644994649239192,0,No Failure
218,M00218,M,298.7779517873365,309.4430157604901,1341.6795114681322,45.0319376226476,160.09449216595706,0,No Failure
219,M00219,M,297.6354529944011,310.2193944854579,1679.471225622884,56.47024469166865,100.63473511934315,0,No Failure
220,M00220,M,298.1210914234821,303.6053076490118,1251.4235222311029,47.89011212971723,54.64223475448557,0,No Failure
221,M00221,M,300.38050110534243,311.4145749198059,1787.9568136907506,54.0621067613308,441.21487211997356,1,Tool Wear Failure
222,L00222,L,295.7395365315993,305.5004986694646,1370.9990107268595,26.183836912430273,1.1071860478312319,0,No Failure
223,L00223,L,298.93740915658475,307.66271665205034,1688.8119495719795,33.433180250336775,85.01026033310734,0,No Failure
224,L00224,L,298.0720535430479,309.27374641891583,1543.143696888142,45.80540125299621,18.792039379472566,0,No Failure
225,L00225,L,297.4330274380606,309.9975862889716,1587.3571802507925,55.20769292358793,43.14407693493509,0,No Failure
226,L00226,L,299.8705126417319,311.03335873498855,1433.0052235299686,46.65489105625854,15.438561523966364,0,No Failure
227,H00227,H,299.85802830911405,309.30124038222175,1602.0584744597306,29.93854586882258,119.15279692487464,0,No Failure
228,L00228,L,296.20701840802315,304.7918136714109,1563.0008899371699,35.836466371855764,55.452425313177,0,No Failure
229,M00229,M,297.7356788322842,307.9526202829685,1277.3965454772394,43.49404223278377,463.3548839592766,1,Tool Wear Failure
230,M00230,M,298.66242336516814,309.9721773037405,1366.2237494740668,38.52834456934145,114.57447235231596,0,No Failure
231,M00231,M,297.55398650395483,306.97340696460424,1441.8144584959416,32.20623859654785,269.23933135174127,1,Tool Wear Failure
232,L00232,L,299.2700426645756,308.83446817709944,1403.4291242999275,37.276163199856036,29.75679109669469,0,No Failure
233,L00233,L,298.6623840358206,312.8953844105782,1763.4290025072887,40.026072892967,41.458601003219826,0,No Failure
234,L00234,L,301.765122480712,313.3831003996516,1540.0576431638565,29.35333458438854,48.65258613449174,1,Heat Dissipation Failure
235,L00235,L,295.03944172814045,306.7646347457309,1399.184227368169,49.985555453191246,196.92105571031095,0,No Failure
236,M00236,M,297.8551280205052,305.664699161417,1450.804970556255,35.78704021908638,25.68734795123952,0,No Failure
237,L00237,L,296.28299497697566,305.2222119580355,1448.349769120011,39.44641502368138,316.67855644286277,1,Tool Wear Failure
238,L00238,L,299.3082149108781,309.42023737005945,1487.1527296694917,50.48947545612815,4.812175371531563,0,No Failure
239,M00239,M,294.86565621990894,303.3639498830812,1345.9934377337759,38.923763298923625,238.24637644561074,0,No Failure
240,L00240,L,298.7926254204498,311.1932213687837,1392.8621518699006,49.94417751956264,64.8443878304978,0,No Failure
241,H00241,H,296.83990313730334,308.9553715971893,1676.252619171743,29.908867416660236,80.60394914529891,0,No Failure
242,H00242,H,296.631676267758,305.83135826168194,1572.0320184336877,44.486570468724345,642.7361512849111,0,No Failure
243,H00243,H,295.2070035929186,307.88288150282983,1511.485877905342,48.538043886468124,220.38371741907642,1,Tool Wear Failure
244,L00244,L,297.169848107598,307.1634699625181,1539.2702711445972,31.896216055163883,253.11225790834337,0,No Failure
